Drug1,Drug2,Prob,Source,Method
DB00252,DB00720,0.999,NCRD,GIP
DB06689,DB00398,0.999,CRD,GIP
DB00163,DB00169,0.999,WP4,GIP
DB00428,DB00741,0.9876,WP4,GIP
DB01612,DB13217,0.9033,DrugBank,GIP
DB00252,DB06823,0.8891,NCRD,GIP
DB06789,DB00396,0.8338,WP4,GIP
DB04961,DB00411,0.8061,NCRD,GIP
DB01612,DB12967,0.7902,DrugBank,GIP
DB00360,DB00396,0.7891,WP4,GIP
DB00412,DB00741,0.7875,WP4,GIP
DB01612,DB03880,0.784,DrugBank,GIP
DB11590,DB00127,0.7612,NCRD,GIP
DB00658,DB13217,0.7593,DrugBank,GIP
DB03754,DB00250,0.7493,DrugBank,GIP
DB01235,DB00201,0.746,WP4,GIP
DB00500,DB00720,0.7431,NCRD,GIP
DB00619,DB00727,0.7206,NCRD,GIP
DB00252,DB05381,0.7040000000000001,NCRD,GIP
DB00763,DB11780,0.6988,DrugBank,GIP
DB00252,DB03822,0.6983,NCRD,GIP
DB03754,DB08993,0.6789,DrugBank,GIP
DB01407,DB01431,0.6768,CRD,GIP
DB04961,DB00974,0.6714,NCRD,GIP
DB00658,DB12967,0.6618,DrugBank,GIP
DB03754,DB12693,0.6554,DrugBank,GIP
DB00260,DB02509,0.6512,NCRD,GIP
DB01612,DB06726,0.6463,DrugBank,GIP
DB00252,DB01241,0.6389,NCRD,GIP
DB04961,DB09269,0.6374,NCRD,GIP
DB01612,DB00525,0.6301,DrugBank,GIP
DB00382,DB01234,0.6286,WP4,GIP
DB11362,DB00996,0.6254,NCRD,GIP
DB00672,DB00339,0.6146,CRD,GIP
DB00488,DB11780,0.6143,DrugBank,GIP
DB00325,DB09321,0.607,DrugBank,GIP
DB01407,DB01170,0.6038,CRD,GIP
DB03754,DB01683,0.6034,DrugBank,GIP
DB08897,DB00996,0.602,NCRD,GIP
DB03754,DB09001,0.598,DrugBank,GIP
DB08897,DB00951,0.5939,NCRD,GIP
DB03756,DB09555,0.5925,CRD,GIP
DB06783,DB12693,0.5896,DrugBank,GIP
DB00494,DB00585,0.5882,NCRD,GIP
DB00658,DB00714,0.5864,DrugBank,GIP
DB13231,DB00176,0.5831,DrugBank,GIP
DB01213,DB00523,0.5815,CRD,GIP
DB01612,DB11477,0.5811,DrugBank,GIP
DB11967,DB00339,0.5743,NCRD,GIP
DB08897,DB00339,0.5715,NCRD,GIP
DB06799,DB00851,0.5678,DrugBank,GIP
DB00808,DB00741,0.5663,WP4,GIP
DB01612,DB00236,0.5653,DrugBank,GIP
DB00727,DB11780,0.5624,DrugBank,GIP
DB09072,DB00250,0.5611,DrugBank,GIP
DB01440,DB00250,0.5601,DrugBank,GIP
DB00580,DB00336,0.5598,NCRD,GIP
DB09459,DB09321,0.5589999999999999,DrugBank,GIP
DB00788,DB00898,0.5583,WP4,GIP
DB11127,DB00166,0.5552,NCRD,GIP
DB06689,DB01114,0.5541,CRD,GIP
DB01612,DB00576,0.5533,DrugBank,GIP
DB00260,DB00727,0.5527,NCRD,GIP
DB11898,DB09321,0.5526,DrugBank,GIP
DB13058,DB00176,0.5526,DrugBank,GIP
DB06799,DB12289,0.5471,DrugBank,GIP
DB04572,DB09321,0.5458,DrugBank,GIP
DB00494,DB00916,0.5457,NCRD,GIP
DB09072,DB12967,0.5454,DrugBank,GIP
DB03040,DB00176,0.5438,DrugBank,GIP
DB06782,DB00250,0.5424,DrugBank,GIP
DB01074,DB11780,0.5395,DrugBank,GIP
DB01407,DB06204,0.5394,CRD,GIP
DB01685,DB00191,0.5383,NCRD,GIP
DB06783,DB06726,0.5381,DrugBank,GIP
DB11632,DB01431,0.5362,CRD,GIP
DB01407,DB00545,0.5354,CRD,GIP
DB03754,DB11477,0.5353,DrugBank,GIP
DB01612,DB08810,0.5306,DrugBank,GIP
DB00494,DB01172,0.5297,NCRD,GIP
DB09026,DB00228,0.5293,CRD,GIP
DB06637,DB08896,0.5291,CRD,GIP
DB01409,DB00228,0.527,CRD,GIP
DB04961,DB02486,0.5259,NCRD,GIP
DB00727,DB09321,0.5252,DrugBank,GIP
DB01612,DB06200,0.5241,DrugBank,GIP
DB01132,DB00390,0.5214,WP4,GIP
DB06799,DB00697,0.5209,DrugBank,GIP
DB00252,DB02486,0.5199,NCRD,GIP
DB01612,DB12749,0.5196,DrugBank,GIP
DB00382,DB09224,0.5192,CRD,GIP
DB06819,DB08896,0.5188,CRD,GIP
DB01612,DB00533,0.5175,DrugBank,GIP
DB00158,DB01074,0.5173,CRD,GIP
DB09026,DB00974,0.5171,CRD,GIP
DB00391,DB00720,0.5165,NCRD,GIP
DB01407,DB01206,0.515,CRD,GIP
DB00500,DB00260,0.5146,NCRD,GIP
DB06689,DB04840,0.5139,CRD,GIP
DB06728,DB00531,0.5132,CRD,GIP
DB09139,DB01377,0.5123,DrugBank,GIP
DB00494,DB00336,0.511,NCRD,GIP
DB06728,DB00398,0.511,CRD,GIP
DB00158,DB01170,0.5109,CRD,GIP
DB00580,DB01525,0.5103,NCRD,GIP
DB00583,DB11780,0.5088,DrugBank,GIP
DB04830,DB08933,0.5063,DrugBank,GIP
DB00952,DB00951,0.5054,NCRD,GIP
DB00951,DB09321,0.504,DrugBank,GIP
DB00619,DB09269,0.504,NCRD,GIP
DB00494,DB00491,0.5031,NCRD,GIP
DB00488,DB01377,0.5028,DrugBank,GIP
DB11590,DB00677,0.5008,NCRD,GIP
DB06737,DB00585,0.4974,NCRD,GIP
DB03128,DB08896,0.4974,CRD,GIP
DB00711,DB00951,0.4972,NCRD,GIP
DB00974,DB00201,0.4968,WP4,GIP
DB00865,DB02300,0.496,NCRD,GIP
DB00580,DB01408,0.495,NCRD,GIP
DB01575,DB13323,0.4948,DrugBank,GIP
DB06783,DB06554,0.4944,DrugBank,GIP
DB00500,DB00974,0.4936,NCRD,GIP
DB06799,DB00488,0.4904,DrugBank,GIP
DB06799,DB06266,0.49,DrugBank,GIP
DB04961,DB03568,0.4874,NCRD,GIP
DB04557,DB05095,0.4871,DrugBank,GIP
DB00952,DB00339,0.4862,NCRD,GIP
