Drug1,Drug2,Prob,Source,Method
DB05351,DB00448,0.8667,DrugBank,semEP
DB05351,DB01129,0.8667,DrugBank,semEP
DB06413,DB00745,0.8333,DrugBank,semEP
DB03756,DB01353,0.8056,DrugBank,semEP
DB03756,DB00237,0.8056,DrugBank,semEP
DB03756,DB01351,0.8056,DrugBank,semEP
DB00599,DB03756,0.8056,DrugBank,semEP
DB03756,DB00241,0.8056,DrugBank,semEP
DB03756,DB00474,0.8056,DrugBank,semEP
DB03756,DB00312,0.8056,DrugBank,semEP
DB09085,DB00316,0.6667,DrugBank,semEP
DB01405,DB08912,0.6667,DrugBank,semEP
DB01456,DB12081,0.6667,DrugBank,semEP
DB01220,DB04911,0.6667,DrugBank,semEP
DB01171,DB01220,0.6667,DrugBank,semEP
DB01091,DB00735,0.6667,DrugBank,semEP
DB00934,DB09056,0.6667,DrugBank,semEP
DB00226,DB06196,0.6667,DrugBank,semEP
DB01241,DB00195,0.6667,DrugBank,semEP
DB12248,DB11587,0.6667,DrugBank,semEP
DB01611,DB00317,0.6667,DrugBank,semEP
DB06711,DB00788,0.6667,DrugBank,semEP
DB01357,DB00374,0.6667,DrugBank,semEP
DB00754,DB01255,0.6667,DrugBank,semEP
DB01509,DB01442,0.6667,DrugBank,semEP
DB00278,DB01324,0.6667,DrugBank,semEP
DB05107,DB00790,0.6667,DrugBank,semEP
DB01189,DB08981,0.6667,DrugBank,semEP
DB11274,DB00255,0.6667,DrugBank,semEP
DB00570,DB11799,0.6667,DrugBank,semEP
DB09174,DB00542,0.6667,DrugBank,semEP
DB00255,DB01301,0.6667,DrugBank,semEP
DB01035,DB00341,0.6667,DrugBank,semEP
DB00655,DB00470,0.6667,DrugBank,semEP
DB01208,DB00978,0.6667,DrugBank,semEP
DB11641,DB01076,0.6667,DrugBank,semEP
DB04865,DB06590,0.6667,DrugBank,semEP
DB01189,DB09288,0.6667,DrugBank,semEP
DB00907,DB00207,0.6667,DrugBank,semEP
DB06419,DB09309,0.6667,DrugBank,semEP
DB13346,DB00449,0.6667,DrugBank,semEP
DB06441,DB08912,0.6667,DrugBank,semEP
DB13867,DB08970,0.6667,DrugBank,semEP
DB00745,DB06413,0.6667,DrugBank,semEP
DB00749,DB04864,0.6667,DrugBank,semEP
DB01698,DB00860,0.6667,DrugBank,semEP
DB00335,DB06594,0.6667,DrugBank,semEP
