Drug1,Drug2,Prob,Method
DB00720,C0338480,0.9990000000000001,GIP
DB00742,C0338480,0.9076,GIP
DB00996,C0338480,0.8485,GIP
DB00181,C0338480,0.6865,GIP
DB00871,C0338480,0.659,GIP
DB06826,C0338480,0.6571,GIP
DB06698,C0338480,0.6456,GIP
DB01255,C0265294,0.6402,GIP
DB01213,C0265294,0.62,GIP
DB00583,C0338480,0.6136,GIP
DB00195,C0338480,0.6027,GIP
DB01131,C0338480,0.6005,GIP
DB09220,C0338480,0.5676,GIP
DB06637,C0265294,0.5618,GIP
DB00244,C0338480,0.5611,GIP
DB06594,C0338480,0.5545,GIP
DB06151,C0338480,0.5282,GIP
DB00230,C0265294,0.5183,GIP
DB00573,C0265294,0.5009,GIP
DB01005,C0338480,0.5006,GIP
DB01020,C0018916,0.4949,GIP
DB00585,C0018916,0.4642,GIP
DB00529,C0338480,0.4579,GIP
DB00281,C0338480,0.4565,GIP
DB01202,C0265294,0.4546,GIP
DB00851,C0018916,0.4511,GIP
DB00316,C0338480,0.4402,GIP
DB01050,C0338480,0.4391,GIP
DB00437,C0546956,0.4278,GIP
DB00915,C0265294,0.425,GIP
DB00515,C0338480,0.418,GIP
DB06698,C0028081,0.4088,GIP
DB01213,C0029191,0.4072,GIP
DB00518,C0034212,0.4064,GIP
DB05015,C0018916,0.4046,GIP
DB00145,C0338480,0.402,GIP
DB01241,C0010200,0.4018,GIP
DB00518,C0546956,0.3959,GIP
DB06204,C0010200,0.3952,GIP
DB01046,C0018916,0.3949,GIP
DB05015,C0034212,0.3932,GIP
DB01189,C0338480,0.3897,GIP
DB00125,C0027794,0.3885,GIP
DB01188,C0034212,0.3847,GIP
DB00692,C0546956,0.3845,GIP
DB01005,C0265294,0.3796,GIP
DB04876,C0546956,0.3788,GIP
DB00230,C0338480,0.3769,GIP
DB01197,C0025312,0.3763,GIP
DB00669,C0018916,0.375,GIP
DB00742,C0043094,0.3738,GIP
DB00313,C0265294,0.3737,GIP
DB09462,C0338480,0.3723,GIP
DB00816,C0338480,0.3657,GIP
DB00939,C0018916,0.3638,GIP
DB00720,C0587246,0.3623,GIP
DB01189,C0156312,0.3563,GIP
DB01012,C0034212,0.3562,GIP
DB01097,C0546956,0.3559,GIP
DB00731,C0018916,0.3494,GIP
DB00669,C0546956,0.3493,GIP
DB06594,C0027794,0.3493,GIP
DB00788,C0338480,0.349,GIP
DB00828,C0032797,0.3488,GIP
DB06151,C0265294,0.3487,GIP
DB00996,C0151544,0.3486,GIP
DB00531,C0025312,0.3466,GIP
DB01050,C0265294,0.3463,GIP
DB01110,C0546956,0.3452,GIP
