Drug1,Drug2,Prob,Method
DB11180,C0002792,0.999,LapRLS
DB00720,C0338480,0.999,GIP
DB00268,C0917801,0.999,KBMF2K
DB00491,C0005695,0.9973,BLM
DB00331,C0029089,0.997,BLM
DB00491,C0019064,0.9967,BLM
DB00390,C0019064,0.9961,BLM
DB00491,C0003855,0.9959,BLM
DB00390,C0005695,0.9953,BLM
DB00331,C0003855,0.9952,BLM
DB00692,C0003855,0.9951,BLM
DB09101,C0019064,0.9949,BLM
DB06698,C0019064,0.9946,BLM
DB08874,C0003855,0.9944,BLM
DB04854,C0032000,0.9944,BLM
DB09101,C0003855,0.9942,BLM
DB00331,C0019064,0.994,BLM
DB00545,C0005695,0.9938,BLM
DB04854,C0003855,0.9934,BLM
DB06809,C0019064,0.9933,BLM
DB00580,C0005695,0.9933,BLM
DB00533,C0019064,0.9932,BLM
DB06809,C0003855,0.9932,BLM
DB00580,C0003855,0.993,BLM
DB00554,C0019064,0.993,BLM
DB00658,C0019064,0.9928,BLM
DB06809,C0024117,0.9928,BLM
DB00328,C0019064,0.9928,BLM
DB00958,C0003855,0.9925,BLM
DB00630,C0024312,0.9925,BLM
DB00580,C0019064,0.9924,BLM
DB04485,C0028866,0.9923,BLM
DB01046,C0003855,0.9923,BLM
DB04835,C0032000,0.9922,BLM
DB00973,C0019064,0.992,BLM
DB01180,C0019064,0.9919,BLM
DB01241,C0003855,0.9918,BLM
DB01046,C0019064,0.9918,BLM
DB00615,C0003855,0.9917,BLM
DB05015,C0019064,0.9916,BLM
DB04485,C0003855,0.9915,BLM
DB00585,C0019064,0.9914,BLM
DB04485,C0019064,0.991,BLM
DB06769,C0015402,0.991,BLM
DB00482,C0019064,0.9908,BLM
DB00658,C0003855,0.9908,BLM
DB00836,C0019064,0.9906,BLM
DB00572,C0003855,0.9905,BLM
DB00209,C0003855,0.9904,BLM
DB05528,C0003855,0.9904,BLM
DB09065,C0003855,0.9902,BLM
DB00130,C0003855,0.9901,BLM
DB01079,C0019064,0.9897,BLM
DB09065,C0019064,0.9895,BLM
DB00736,C0003855,0.9894,BLM
DB00806,C0019064,0.9892,BLM
DB00572,C0019064,0.9888,BLM
DB00806,C0024117,0.9886,BLM
DB01250,C0005695,0.9884,BLM
DB00710,C0019064,0.9884,BLM
DB06769,C0003855,0.9884,BLM
DB06698,C0017565,0.9884,BLM
DB00177,C0019064,0.9883,BLM
DB00806,C0003855,0.9882,BLM
DB06215,C0032000,0.9882,BLM
DB00491,C0042345,0.9882,BLM
DB00602,C0032000,0.9882,BLM
DB00209,C0019064,0.9881,BLM
DB00130,C0019064,0.9881,BLM
DB00419,C0003855,0.988,BLM
DB08911,C0019064,0.9879,BLM
DB00658,C1384606,0.9879,BLM
DB01220,C0003855,0.9878,BLM
DB01110,C0024117,0.9877,BLM
DB00701,C0029089,0.9875,BLM
DB00419,C0019064,0.9875,BLM
DB01166,C0029927,0.9873,BLM
DB01264,C0032000,0.9873,BLM
DB00710,C0003855,0.9873,BLM
DB06663,C0003855,0.9873,BLM
DB00316,C0028866,0.9872,BLM
DB00876,C0015402,0.9871,BLM
DB01117,C0019064,0.987,BLM
DB00836,C0003855,0.987,BLM
DB01220,C0019064,0.9868,BLM
DB00932,C0003855,0.9867,BLM
DB01244,C0019064,0.9866,BLM
DB00753,C0002792,0.9866,LapRLS
DB01076,C0005695,0.9865,BLM
DB00900,C0019064,0.9865,BLM
DB00530,C0003855,0.9865,BLM
DB00630,C0162119,0.9864,BLM
DB06698,C0015402,0.9864,BLM
DB01250,C0019064,0.9861,BLM
DB00932,C0019064,0.986,BLM
DB01609,C0024117,0.9857,BLM
DB00297,C0003855,0.9856,BLM
DB00881,C0151699,0.9856,BLM
DB06792,C0151699,0.9854,BLM
DB01177,C0151699,0.9854,BLM
DB01018,C0032000,0.9853,BLM
DB00602,C0019064,0.9852,BLM
DB00602,C1384606,0.9852,BLM
DB01232,C0019064,0.9849,BLM
DB00602,C0003855,0.9849,BLM
DB01079,C0151699,0.9849,BLM
DB00331,C0151699,0.9848,BLM
DB00254,C0029089,0.9848,BLM
DB09101,C0151699,0.9847,BLM
DB01240,C0003855,0.9847,BLM
DB01609,C0019064,0.9847,BLM
DB00630,C0017565,0.9846,BLM
DB01232,C0003855,0.9846,BLM
DB01079,C0003855,0.9845,BLM
DB00503,C0019064,0.9845,BLM
DB01254,C0032000,0.9844,BLM
DB01250,C0003855,0.9844,BLM
DB01076,C0015402,0.9844,BLM
DB00836,C0015402,0.9843,BLM
DB01068,C0019064,0.984,BLM
DB00492,C0003855,0.9839,BLM
DB01204,C0003855,0.9839,BLM
DB00633,C0019064,0.9839,BLM
DB00746,C0003855,0.9839,BLM
DB00489,C0005695,0.9839,BLM
DB06698,C0162119,0.9839,BLM
DB00787,C0019064,0.9837,BLM
DB00560,C0003855,0.9837,BLM
DB00630,C0019064,0.9836,BLM
DB00297,C0019064,0.9836,BLM
DB00294,C0019064,0.9833,BLM
DB00381,C0151699,0.9832,BLM
DB01280,C0029089,0.9831,BLM
DB01083,C0005695,0.9831,BLM
DB00583,C0019064,0.983,BLM
DB00492,C0019064,0.983,BLM
DB01008,C0003855,0.9829,BLM
DB09101,C0015402,0.9829,BLM
DB01609,C0003855,0.9828,BLM
DB06809,C0151699,0.9827,BLM
DB00349,C0019064,0.9827,BLM
DB00331,C0015402,0.9826,BLM
DB01232,C0151699,0.9825,BLM
DB06698,C0151699,0.9823,BLM
DB00491,C0019572,0.9822,BLM
DB09065,C0015402,0.9821,BLM
DB01264,C0003855,0.9821,BLM
DB00597,C0019064,0.9821,BLM
DB00583,C0029089,0.9821,BLM
DB01264,C0019064,0.9821,BLM
DB01083,C0003855,0.982,BLM
DB00303,C0032000,0.9819,BLM
DB06809,C0015402,0.9818,BLM
DB01280,C0003855,0.9818,BLM
DB00580,C0015402,0.9816,BLM
DB00130,C0151699,0.9815,BLM
DB00346,C0015402,0.9815,BLM
DB00836,C0151699,0.9815,BLM
DB14126,C0015402,0.9814,BLM
DB00762,C0019064,0.9814,BLM
DB00491,C0151699,0.9814,BLM
DB06215,C0028866,0.9813,BLM
DB06809,C0017565,0.9813,BLM
DB01220,C0151699,0.9813,BLM
DB01046,C0015402,0.9813,BLM
DB09462,C0019572,0.9812,BLM
DB00316,C0019064,0.9812,BLM
DB00530,C0042345,0.9811,BLM
DB00580,C0151699,0.9811,BLM
DB00884,C0003855,0.9811,BLM
DB00349,C0003855,0.9811,BLM
DB04854,C0151699,0.981,BLM
DB00658,C0151699,0.981,BLM
DB00658,C0015402,0.9807,BLM
DB00419,C0018926,0.9807,BLM
DB01012,C0015402,0.9807,BLM
DB06698,C0019572,0.9807,BLM
DB00709,C0003855,0.9807,BLM
DB00006,C0024117,0.9807,BLM
DB00196,C0019064,0.9806,BLM
DB00633,C0003855,0.9804,BLM
DB01280,C0019064,0.9804,BLM
DB06414,C0151699,0.9804,BLM
DB00130,C0015402,0.9804,BLM
DB09065,C0151699,0.9803,BLM
DB01128,C0015402,0.9803,BLM
DB06213,C0019064,0.9802,BLM
DB06213,C0015402,0.9801,BLM
DB00316,C0003855,0.9801,BLM
DB00489,C0019064,0.9801,BLM
DB01083,C0019064,0.98,BLM
DB01262,C0032000,0.9799,BLM
DB00224,C0019064,0.9799,BLM
DB14126,C0003855,0.9798,BLM
DB00419,C0151699,0.9796,BLM
DB00331,C0017565,0.9795,BLM
DB01046,C0151699,0.9795,BLM
DB00615,C0015402,0.9795,BLM
DB01014,C0019064,0.9794,BLM
DB00932,C0042345,0.9793,BLM
DB00552,C0015402,0.9793,BLM
DB01079,C0015402,0.9792,BLM
DB00572,C0151699,0.9792,BLM
DB00331,C0162119,0.9791,BLM
DB06663,C0151699,0.9789,BLM
DB00489,C0003855,0.9789,BLM
DB01220,C0015402,0.9788,BLM
DB01222,C0019064,0.9788,BLM
DB00554,C0019572,0.9788,BLM
DB09101,C0029456,0.9788,BLM
DB00857,C0019064,0.9787,BLM
DB00953,C0008311,0.9787,BLM
DB00316,C0024117,0.9787,BLM
DB00188,C0003855,0.9785,BLM
DB00762,C0028866,0.9785,BLM
DB00900,C0008311,0.9785,BLM
DB00804,C0017565,0.9784,BLM
DB00787,C0015402,0.9784,BLM
DB00296,C0003855,0.9783,BLM
DB06663,C0015402,0.9783,BLM
DB01222,C0003855,0.9783,BLM
DB00975,C0003855,0.9782,BLM
DB00337,C0015402,0.9782,BLM
DB00419,C0015402,0.9782,BLM
DB01241,C0162119,0.9781,BLM
DB00884,C0015402,0.9781,BLM
DB00492,C0015402,0.9781,BLM
DB06414,C0018926,0.9781,BLM
DB00293,C0029456,0.9781,BLM
DB00762,C0003855,0.9779,BLM
DB00709,C0019064,0.9779,BLM
DB00492,C0042345,0.9779,BLM
DB00602,C0151699,0.9777,BLM
DB01222,C0151699,0.9777,BLM
DB00317,C0151699,0.9775,BLM
DB00612,C0017565,0.9775,BLM
DB00649,C0015402,0.9774,BLM
DB00489,C0015402,0.9773,BLM
DB00881,C0029456,0.9772,BLM
DB00658,C0017565,0.9772,BLM
DB01177,C0017565,0.9772,BLM
DB01083,C0015402,0.9771,BLM
DB04854,C0015402,0.9771,BLM
DB00185,C0017565,0.9771,BLM
DB00494,C0151699,0.9771,BLM
DB00316,C0029927,0.9771,BLM
DB00887,C0151699,0.977,BLM
DB00261,C0003855,0.9769,BLM
DB01280,C0015402,0.9768,BLM
DB09101,C0018926,0.9768,BLM
DB00969,C0151699,0.9767,BLM
DB06769,C0151699,0.9767,BLM
DB01162,C0151699,0.9767,BLM
DB00928,C0019064,0.9766,BLM
DB00598,C0151699,0.9766,BLM
DB00296,C0019064,0.9765,BLM
DB08911,C0018926,0.9764,BLM
DB01254,C1384606,0.9764,BLM
DB00630,C0025323,0.9764,BLM
DB01280,C0151699,0.9763,BLM
DB01024,C0005695,0.9762,BLM
DB00296,C0028866,0.9762,BLM
DB08860,C0029089,0.9762,BLM
DB01250,C0015402,0.9762,BLM
DB00630,C0151699,0.9761,BLM
DB04485,C0151699,0.9761,BLM
DB00602,C0015402,0.9761,BLM
