Drug1,Drug2,Prob,Method
DB00268,C0917801,0.9990000000000001,KBMF2K
DB00531,C0042963,0.9649,KBMF2K
DB06202,C0003862,0.9326,KBMF2K
DB00715,C0003123,0.8866,KBMF2K
DB00246,C0033774,0.805,KBMF2K
DB00230,C0015230,0.7844,KBMF2K
DB00882,C0015672,0.7816,KBMF2K
DB00216,C0008031,0.7759999999999999,KBMF2K
DB00998,C0030554,0.7326,KBMF2K
DB00315,C0042963,0.7276,KBMF2K
DB01267,C0042109,0.7151,KBMF2K
DB00790,C0027497,0.6737,KBMF2K
DB00268,C0020456,0.6675,KBMF2K
DB00230,C0085633,0.6608,KBMF2K
DB00459,C0042963,0.6589,KBMF2K
DB01043,C0043352,0.6555,KBMF2K
DB00906,C0018681,0.6471,KBMF2K
DB00864,C0002792,0.6403,KBMF2K
DB00472,C0013404,0.6304,KBMF2K
DB09220,C0003862,0.6256,KBMF2K
DB01104,C0344232,0.6255,KBMF2K
DB01367,C0231528,0.6192,KBMF2K
DB00953,C0003862,0.6093,KBMF2K
DB04868,C0023530,0.6033,KBMF2K
DB00268,C0002792,0.5982,KBMF2K
DB08910,C0231528,0.597,KBMF2K
DB08873,C0003123,0.5771,KBMF2K
DB01097,C0231528,0.5615,KBMF2K
DB00234,C0015672,0.5517,KBMF2K
DB01166,C0042963,0.5496,KBMF2K
DB01149,C0043352,0.5466,KBMF2K
DB00334,C0231528,0.5456,KBMF2K
DB01367,C0033774,0.5442,KBMF2K
DB00904,C0027497,0.5417,KBMF2K
DB00363,C0002792,0.5397,KBMF2K
DB01198,C0000737,0.5378,KBMF2K
DB06700,C0085631,0.5369,KBMF2K
DB00918,C0010200,0.5272,KBMF2K
DB01273,C0030554,0.5266,KBMF2K
DB00268,C0232461,0.5229,KBMF2K
DB01196,C0015672,0.5228,KBMF2K
DB00918,C0042109,0.5202,KBMF2K
DB00273,C0002792,0.5198,KBMF2K
DB00425,C0085649,0.5174,KBMF2K
DB00715,C0085632,0.5076,KBMF2K
DB01267,C0009676,0.5056,KBMF2K
DB01267,C0085649,0.504,KBMF2K
DB01043,C0015967,0.5034,KBMF2K
DB00715,C0018418,0.5024,KBMF2K
DB01018,C0042963,0.4966,KBMF2K
DB00983,C0042963,0.4931,KBMF2K
DB00928,C0011175,0.4916,KBMF2K
DB01204,C0015672,0.4913,KBMF2K
