Drug1,Drug2,Prob,Method
DB11180,C0002792,0.9990000000000001,LapRLS
DB00753,C0002792,0.9866,LapRLS
DB06698,C0002792,0.9636,LapRLS
DB00828,C0042109,0.9599,LapRLS
DB00431,C0013404,0.9588,LapRLS
DB11180,C0043352,0.9577,LapRLS
DB00720,C0002792,0.9396,LapRLS
DB00727,C0013404,0.9001,LapRLS
DB00727,C0002792,0.8792,LapRLS
DB00316,C0020649,0.8576,LapRLS
DB00720,C0033774,0.8501,LapRLS
DB00720,C0015230,0.8251,LapRLS
DB01213,C0041834,0.8245,LapRLS
DB00431,C0002792,0.8204,LapRLS
DB06698,C0015230,0.8140000000000001,LapRLS
DB11180,C0008031,0.7973,LapRLS
DB00720,C0917801,0.7884,LapRLS
DB06261,C0015230,0.7863,LapRLS
DB04572,C0008031,0.7844,LapRLS
DB00828,C0020649,0.7832,LapRLS
DB06261,C0033774,0.7821,LapRLS
DB00828,C0008031,0.7813,LapRLS
DB00720,C0008031,0.7759999999999999,LapRLS
DB00753,C0020649,0.7742,LapRLS
DB06698,C0020649,0.7675,LapRLS
DB04572,C0013404,0.7619,LapRLS
DB06151,C0043352,0.7567,LapRLS
DB04572,C0002792,0.7535,LapRLS
DB00431,C0020649,0.7434,LapRLS
DB00753,C0917801,0.7377,LapRLS
DB00753,C0042109,0.7368,LapRLS
DB00431,C0008031,0.736,LapRLS
DB01008,C0042109,0.7328,LapRLS
DB01019,C0008031,0.7322,LapRLS
DB00828,C0917801,0.7204,LapRLS
DB00727,C0917801,0.7184,LapRLS
DB06698,C0917801,0.7162,LapRLS
DB11180,C0020456,0.7137,LapRLS
DB06261,C0008031,0.7132,LapRLS
DB06261,C0020649,0.7125,LapRLS
DB06151,C0008031,0.7118,LapRLS
DB00727,C0042109,0.7042,LapRLS
DB11180,C0033774,0.6952,LapRLS
DB01236,C0043352,0.6946,LapRLS
DB00431,C0043352,0.6942,LapRLS
DB01236,C0020649,0.6942,LapRLS
DB11180,C0042963,0.6902,LapRLS
DB06261,C0917801,0.6879,LapRLS
DB00828,C0043352,0.6815,LapRLS
DB01236,C0917801,0.6771,LapRLS
DB01236,C0030554,0.6758,LapRLS
DB11180,C0030554,0.6744,LapRLS
DB00720,C0020649,0.6707,LapRLS
DB04572,C0043352,0.6705,LapRLS
DB00753,C0043352,0.6701,LapRLS
DB06151,C0917801,0.6695,LapRLS
DB00720,C0020456,0.6644,LapRLS
DB00828,C0020456,0.6636,LapRLS
DB00130,C0002792,0.6635,LapRLS
DB00727,C0008031,0.6633,LapRLS
DB06698,C0043352,0.6623,LapRLS
DB00316,C0423791,0.662,LapRLS
DB00316,C0030554,0.6598,LapRLS
DB00828,C0002962,0.6507,LapRLS
DB11180,C0423791,0.6485,LapRLS
DB00828,C0009676,0.6462,LapRLS
DB01019,C0043352,0.6455,LapRLS
DB00828,C0015230,0.6454,LapRLS
DB06261,C0020456,0.6378,LapRLS
DB00753,C0015230,0.6345,LapRLS
DB01008,C0002792,0.6301,LapRLS
DB11180,C0020651,0.6226,LapRLS
DB00431,C0917801,0.6202,LapRLS
DB00658,C0311468,0.62,LapRLS
DB00478,C0033774,0.6151,LapRLS
DB00753,C0033774,0.6101,LapRLS
DB11180,C0232461,0.6037,LapRLS
DB00828,C0030554,0.6006,LapRLS
DB06698,C0015967,0.5998,LapRLS
DB00828,C0013404,0.5993,LapRLS
DB11180,C0009676,0.5993,LapRLS
DB00658,C0476273,0.5964,LapRLS
DB00753,C0015967,0.5942,LapRLS
DB00828,C0033774,0.5933,LapRLS
DB00753,C0002962,0.5933,LapRLS
DB00316,C0232461,0.5884,LapRLS
DB06698,C0030554,0.5881,LapRLS
DB06698,C0033774,0.5852,LapRLS
DB06698,C0013604,0.584,LapRLS
DB00313,C0043352,0.5831,LapRLS
DB01019,C0917801,0.5815,LapRLS
DB00720,C0018681,0.5718,LapRLS
DB01236,C0002962,0.5718,LapRLS
DB00720,C0043352,0.5712,LapRLS
DB00720,C0232461,0.5682,LapRLS
DB00720,C0009676,0.5660000000000001,LapRLS
DB00659,C0013604,0.5652,LapRLS
DB00316,C0041657,0.5652,LapRLS
DB06261,C0013404,0.5644,LapRLS
DB00431,C0009676,0.5631,LapRLS
DB00597,C0917801,0.5594,LapRLS
DB00313,C0042109,0.5592,LapRLS
DB01213,C0476273,0.5591,LapRLS
DB00431,C0002962,0.5585,LapRLS
DB00316,C0085649,0.5578,LapRLS
DB00431,C0013604,0.5559,LapRLS
DB00727,C0043352,0.5529999999999999,LapRLS
DB06698,C0232461,0.5529,LapRLS
DB00753,C0232461,0.5524,LapRLS
DB01236,C0010200,0.5523,LapRLS
DB01019,C0002792,0.5518,LapRLS
DB01019,C0033774,0.5512,LapRLS
DB06698,C0002962,0.5506,LapRLS
DB01236,C0423791,0.5492,LapRLS
DB00313,C0008031,0.5489999999999999,LapRLS
DB00316,C0424295,0.5479999999999999,LapRLS
DB01008,C0423791,0.5471,LapRLS
DB00753,C0020456,0.5451,LapRLS
DB11180,C0085649,0.5447,LapRLS
DB06151,C0020456,0.5427,LapRLS
DB01236,C0080274,0.5425,LapRLS
DB06261,C0018681,0.5406,LapRLS
DB00130,C0042109,0.5402,LapRLS
DB00828,C0423791,0.5394,LapRLS
DB11180,C0004604,0.5391,LapRLS
DB00130,C0020649,0.5366,LapRLS
DB00753,C0013604,0.5304,LapRLS
DB00753,C0008031,0.5286,LapRLS
DB01019,C0020649,0.5281,LapRLS
DB01213,C0311468,0.5273,LapRLS
DB00720,C0080274,0.5266,LapRLS
DB00478,C0042109,0.5266,LapRLS
DB06261,C0018790,0.5257,LapRLS
DB11180,C0424295,0.5247,LapRLS
DB00431,C0232461,0.5245,LapRLS
DB01213,C0008370,0.5245,LapRLS
DB00313,C0020649,0.5234,LapRLS
DB00478,C0008031,0.5224,LapRLS
DB01236,C0020456,0.5221,LapRLS
DB01008,C0020649,0.5191,LapRLS
DB01236,C2830004,0.5182,LapRLS
DB01008,C0232461,0.5173,LapRLS
DB04572,C0020649,0.5156,LapRLS
DB06151,C0013404,0.5152,LapRLS
DB04572,C0917801,0.5145,LapRLS
DB06698,C0020456,0.5139,LapRLS
DB00478,C0015230,0.5135,LapRLS
DB01019,C0042109,0.5132,LapRLS
DB01213,C1258215,0.5127,LapRLS
DB01236,C0009676,0.5125,LapRLS
DB01213,C0031154,0.5111,LapRLS
DB00316,C0014591,0.5104,LapRLS
DB11180,C0011991,0.5079,LapRLS
DB00125,C0043352,0.5074,LapRLS
DB00753,C0009676,0.507,LapRLS
DB00478,C0020649,0.5064,LapRLS
DB11180,C0014591,0.5056,LapRLS
DB06698,C0008031,0.5054,LapRLS
DB00658,C0008370,0.5043,LapRLS
DB00859,C0917801,0.5042,LapRLS
DB00828,C0042963,0.5017,LapRLS
DB00316,C0030305,0.5014,LapRLS
DB01080,C0043352,0.5009,LapRLS
DB11180,C1456784,0.5,LapRLS
DB04572,C0000731,0.498,LapRLS
DB04572,C0020456,0.4974,LapRLS
DB00727,C0423791,0.495,LapRLS
DB11180,C0030305,0.4932,LapRLS
DB00583,C0043352,0.4929,LapRLS
DB00828,C0080274,0.4913,LapRLS
DB11180,C0041657,0.4905,LapRLS
DB00753,C0042963,0.4902,LapRLS
DB00658,C0041834,0.4884,LapRLS
DB00658,C0019158,0.4881,LapRLS
DB00316,C0002962,0.4867,LapRLS
DB06698,C0424295,0.4855,LapRLS
DB01236,C0424295,0.4855,LapRLS
DB00720,C0014591,0.4849,LapRLS
DB00659,C2830004,0.4848,LapRLS
DB00431,C0020456,0.4845,LapRLS
DB00753,C0011168,0.4838,LapRLS
DB00316,C0011168,0.4834,LapRLS
DB00828,C0020651,0.4815,LapRLS
DB01236,C0020651,0.4815,LapRLS
DB00658,C0162297,0.4812,LapRLS
DB00859,C0008031,0.4804,LapRLS
DB00753,C0424295,0.4775,LapRLS
DB00125,C0917801,0.4767,LapRLS
DB00828,C0014591,0.4761,LapRLS
DB06261,C0030305,0.4757,LapRLS
DB01008,C0030252,0.4755,LapRLS
DB00720,C0085649,0.4751,LapRLS
DB01213,C0011991,0.4748,LapRLS
DB00431,C0080274,0.4733,LapRLS
DB00727,C0232461,0.4716,LapRLS
DB00720,C0020651,0.4711,LapRLS
DB06698,C0014591,0.4705,LapRLS
DB00828,C0232461,0.4703,LapRLS
DB01043,C0043352,0.469,LapRLS
DB00727,C0080274,0.469,LapRLS
DB06698,C0085631,0.4675,LapRLS
DB00597,C0002962,0.4674,LapRLS
