Drug1,Drug2,Prob,SimilaritySource,Method
DB00268,C0917801,0.999,HPO,KBMF2K
DB00215,C1384353,0.999,UMLS,KBMF2K
DB00531,C0042963,0.9649,HPO,KBMF2K
DB06202,C0003862,0.9326,HPO,KBMF2K
DB00273,C2047937,0.8907,UMLS,KBMF2K
DB00715,C0003123,0.8866,HPO,KBMF2K
DB00334,C0043096,0.8753,UMLS,KBMF2K
DB00246,C0033774,0.805,HPO,KBMF2K
DB00230,C0015230,0.7844,HPO,KBMF2K
DB00882,C0015672,0.7816,HPO,KBMF2K
DB00216,C0008031,0.7759999999999999,HPO,KBMF2K
DB00811,C1384353,0.7637,UMLS,KBMF2K
DB00678,C0948594,0.754,UMLS,KBMF2K
DB00998,C0030554,0.7326,HPO,KBMF2K
DB00953,C2047937,0.7283,UMLS,KBMF2K
DB00315,C0042963,0.7276,HPO,KBMF2K
DB01267,C0042109,0.7151,HPO,KBMF2K
DB00246,C2047937,0.7021,UMLS,KBMF2K
DB00790,C0027497,0.6737,HPO,KBMF2K
DB00586,C2047937,0.6693,UMLS,KBMF2K
DB00659,C0948594,0.6676,UMLS,KBMF2K
DB00268,C0020456,0.6675,HPO,KBMF2K
DB00246,C0043096,0.6627,UMLS,KBMF2K
DB00230,C0085633,0.6608,HPO,KBMF2K
DB00459,C0042963,0.6589,HPO,KBMF2K
DB01043,C0043352,0.6555,HPO,KBMF2K
DB00879,C0948594,0.6551,UMLS,KBMF2K
DB00906,C0018681,0.6471,HPO,KBMF2K
DB00864,C0002792,0.6403,HPO,KBMF2K
DB01198,C0948594,0.6332,UMLS,KBMF2K
DB00472,C0013404,0.6304,HPO,KBMF2K
DB09220,C0003862,0.6256,HPO,KBMF2K
DB01104,C0344232,0.6255,HPO,KBMF2K
DB01367,C0231528,0.6192,HPO,KBMF2K
DB00953,C0003862,0.6093,HPO,KBMF2K
DB04868,C0023530,0.6033,HPO,KBMF2K
DB00268,C0002792,0.5982,HPO,KBMF2K
DB08910,C0231528,0.597,HPO,KBMF2K
DB00715,C1142135,0.589,UMLS,KBMF2K
DB08873,C0003123,0.5771,HPO,KBMF2K
DB01097,C0231528,0.5615,HPO,KBMF2K
DB00234,C0015672,0.5517,HPO,KBMF2K
DB01166,C0042963,0.5496,HPO,KBMF2K
DB01149,C0043352,0.5466,HPO,KBMF2K
DB00334,C0231528,0.5456,HPO,KBMF2K
DB01367,C0033774,0.5442,HPO,KBMF2K
DB00904,C0027497,0.5417,HPO,KBMF2K
DB00363,C0002792,0.5397,HPO,KBMF2K
DB01198,C0000737,0.5378,HPO,KBMF2K
DB06700,C0085631,0.5369,HPO,KBMF2K
DB00918,C0010200,0.5272,HPO,KBMF2K
DB01273,C0030554,0.5266,HPO,KBMF2K
DB00268,C0232461,0.5229,HPO,KBMF2K
DB01196,C0015672,0.5228,HPO,KBMF2K
DB00918,C0042109,0.5202,HPO,KBMF2K
DB00273,C0002792,0.5198,HPO,KBMF2K
DB00425,C0085649,0.5174,HPO,KBMF2K
DB00715,C0085632,0.5076,HPO,KBMF2K
DB01267,C0009676,0.5056,HPO,KBMF2K
DB01267,C0085649,0.504,HPO,KBMF2K
DB01043,C0015967,0.5034,HPO,KBMF2K
DB00715,C0018418,0.5024,HPO,KBMF2K
DB01018,C0042963,0.4966,HPO,KBMF2K
DB00983,C0042963,0.4931,HPO,KBMF2K
DB00928,C0011175,0.4916,HPO,KBMF2K
DB01204,C0015672,0.4913,HPO,KBMF2K
