Drug1,Drug2,Prob,SimilaritySource,Method
DB11180,C0002792,0.9990000000000001,HPO,LapRLS
DB06711,C0037763,0.9990000000000001,UMLS,GIP
DB00268,C0917801,0.9990000000000001,HPO,KBMF2K
DB06202,C0151735,0.9990000000000001,UMLS,LapRLS
DB00720,C0338480,0.9990000000000001,HPO,GIP
DB00215,C1384353,0.9990000000000001,UMLS,KBMF2K
DB00597,C1262281,0.9986,UMLS,BLM
DB01177,C0035126,0.9982,UMLS,BLM
DB02638,C1536080,0.9978,UMLS,BLM
DB01177,C0426747,0.9977,UMLS,BLM
DB00597,C1096267,0.9974,UMLS,BLM
DB00491,C0005695,0.9973,HPO,BLM
DB02638,C1696110,0.9971,UMLS,BLM
DB00932,C1510412,0.997,UMLS,BLM
DB00331,C0029089,0.997,HPO,BLM
DB00709,C1696110,0.9969,UMLS,BLM
DB00836,C0271412,0.9967,UMLS,BLM
DB00491,C0019064,0.9967,HPO,BLM
DB01186,C1868809,0.9966,UMLS,BLM
DB01186,C1262281,0.9965,UMLS,BLM
DB06213,C3160769,0.9964,UMLS,BLM
DB00571,C1262281,0.9963,UMLS,BLM
DB01186,C1536080,0.9963,UMLS,BLM
DB00390,C0019064,0.9961,HPO,BLM
DB01186,C1096267,0.996,UMLS,BLM
DB00491,C0003855,0.9959,HPO,BLM
DB01250,C1510412,0.9955,UMLS,BLM
DB00675,C1868809,0.9954,UMLS,BLM
DB00390,C0005695,0.9953,HPO,BLM
DB00331,C0003855,0.9952,HPO,BLM
DB00692,C0003855,0.9951,HPO,BLM
DB01186,C1096188,0.995,UMLS,BLM
DB09101,C0019064,0.9949,HPO,BLM
DB01186,C3160769,0.9949,UMLS,BLM
DB01186,C1696110,0.9948,UMLS,BLM
DB01186,C0853225,0.9947,UMLS,BLM
DB06698,C0019064,0.9946,HPO,BLM
DB00836,C0239783,0.9945,UMLS,BLM
DB08874,C0003855,0.9944,HPO,BLM
DB04854,C0032000,0.9944,HPO,BLM
DB00762,C1096267,0.9942,UMLS,BLM
DB09101,C0003855,0.9942,HPO,BLM
DB01129,C1536080,0.9942,UMLS,BLM
DB01129,C3160769,0.9942,UMLS,BLM
DB00597,C0032001,0.9940000000000001,UMLS,BLM
DB00331,C0019064,0.9940000000000001,HPO,BLM
DB00857,C1696110,0.9939,UMLS,BLM
DB00545,C0005695,0.9938,HPO,BLM
DB01059,C0426747,0.9936,UMLS,BLM
DB01059,C1536080,0.9935,UMLS,BLM
DB04854,C0003855,0.9934,HPO,BLM
DB01059,C1696110,0.9934,UMLS,BLM
DB06809,C0019064,0.9933,HPO,BLM
DB00580,C0005695,0.9933,HPO,BLM
DB06809,C0003855,0.9932,HPO,BLM
DB00533,C0019064,0.9932,HPO,BLM
DB00580,C0003855,0.993,HPO,BLM
DB00554,C0019064,0.993,HPO,BLM
DB00762,C1696110,0.993,UMLS,BLM
DB00560,C0028866,0.993,UMLS,BLM
DB06809,C0024117,0.9928,HPO,BLM
DB00658,C0019064,0.9928,HPO,BLM
DB00328,C0019064,0.9928,HPO,BLM
DB00958,C0003855,0.9925,HPO,BLM
DB00630,C0024312,0.9925,HPO,BLM
DB00580,C0019064,0.9924,HPO,BLM
DB00709,C0426747,0.9924,UMLS,BLM
DB04485,C0028866,0.9923,HPO,BLM
DB01046,C0003855,0.9923,HPO,BLM
DB04835,C0032000,0.9922,HPO,BLM
DB00973,C0019064,0.992,HPO,BLM
DB01180,C0019064,0.9919,HPO,BLM
DB01241,C0003855,0.9918,HPO,BLM
DB01046,C0019064,0.9918,HPO,BLM
DB00615,C0003855,0.9917,HPO,BLM
DB05015,C0019064,0.9916,HPO,BLM
DB04485,C0003855,0.9915,HPO,BLM
DB00370,C0853225,0.9915,UMLS,BLM
DB00585,C0019064,0.9914,HPO,BLM
DB01129,C0576995,0.9913,UMLS,BLM
DB06769,C0015402,0.991,HPO,BLM
DB04485,C0019064,0.991,HPO,BLM
DB00658,C0003855,0.9908,HPO,BLM
DB00482,C0019064,0.9908,HPO,BLM
DB00472,C1868809,0.9907,UMLS,BLM
DB00472,C1096267,0.9907,UMLS,BLM
DB00216,C0576995,0.9907,UMLS,BLM
DB00472,C1536080,0.9907,UMLS,BLM
DB00836,C0019064,0.9906,HPO,BLM
DB01200,C0576995,0.9906,UMLS,BLM
DB00572,C0003855,0.9905,HPO,BLM
DB05528,C0003855,0.9904,HPO,BLM
DB00209,C0003855,0.9904,HPO,BLM
DB01250,C0003855,0.9904,UMLS,BLM
DB00472,C0853225,0.9903,UMLS,BLM
DB09065,C0003855,0.9902,HPO,BLM
DB00130,C0003855,0.9901,HPO,BLM
DB00472,C1262281,0.9899,UMLS,BLM
DB00472,C3160769,0.9898,UMLS,BLM
DB01079,C0019064,0.9897,HPO,BLM
DB09065,C0019064,0.9895,HPO,BLM
DB00736,C0003855,0.9894,HPO,BLM
DB01186,C0341512,0.9894,UMLS,BLM
DB00806,C0019064,0.9892,HPO,BLM
DB00472,C1096188,0.9891,UMLS,BLM
DB01177,C0042134,0.9891,UMLS,BLM
DB00572,C0019064,0.9888,HPO,BLM
DB00370,C1262281,0.9887,UMLS,BLM
DB01059,C0151701,0.9886,UMLS,BLM
DB00806,C0024117,0.9886,HPO,BLM
DB06698,C0017565,0.9884,HPO,BLM
DB00710,C0019064,0.9884,HPO,BLM
DB00916,C0853891,0.9884,UMLS,BLM
DB01250,C0426747,0.9884,UMLS,BLM
DB01250,C0005695,0.9884,HPO,BLM
DB06769,C0003855,0.9884,HPO,BLM
DB00177,C0019064,0.9883,HPO,BLM
DB00491,C0042345,0.9882,HPO,BLM
DB00806,C0003855,0.9882,HPO,BLM
DB06215,C0032000,0.9882,HPO,BLM
DB00602,C0032000,0.9882,HPO,BLM
DB00209,C0019064,0.9881,HPO,BLM
DB00130,C0019064,0.9881,HPO,BLM
DB00370,C1096188,0.988,UMLS,BLM
DB00419,C0003855,0.988,HPO,BLM
DB00658,C1384606,0.9879,HPO,BLM
DB08911,C0019064,0.9879,HPO,BLM
DB01059,C0003855,0.9878,UMLS,BLM
DB01220,C0003855,0.9878,HPO,BLM
DB01110,C0024117,0.9877,HPO,BLM
DB00916,C0003855,0.9876,UMLS,BLM
DB00701,C0029089,0.9875,HPO,BLM
DB00419,C0019064,0.9875,HPO,BLM
DB01166,C0029927,0.9873,HPO,BLM
DB01264,C0032000,0.9873,HPO,BLM
DB00710,C0003855,0.9873,HPO,BLM
DB06663,C0003855,0.9873,HPO,BLM
DB00316,C0028866,0.9872,HPO,BLM
DB00876,C0015402,0.9871,HPO,BLM
DB00370,C1096267,0.987,UMLS,BLM
DB01117,C0019064,0.987,HPO,BLM
DB00836,C0003855,0.987,HPO,BLM
DB00571,C0007177,0.9869,UMLS,BLM
DB00370,C3160769,0.9868,UMLS,BLM
DB01220,C0019064,0.9868,HPO,BLM
DB00932,C0003855,0.9867,HPO,BLM
DB01244,C0019064,0.9866,HPO,BLM
DB00753,C0002792,0.9866,HPO,LapRLS
DB01076,C0005695,0.9865,HPO,BLM
DB00530,C0003855,0.9865,HPO,BLM
DB00900,C0019064,0.9865,HPO,BLM
DB00630,C0162119,0.9864,HPO,BLM
