Drug1,Drug2,Prob,Method
DB00146,Myeloperoxidase,0.9935,BLM
DB00910,Myeloperoxidase,0.9915,BLM
DB00153,Myeloperoxidase,0.991,BLM
DB00136,Myeloperoxidase,0.9907,BLM
DB00146,Prostaglandin_G/H_synthase_2,0.9804,BLM
DB00619,Prostaglandin_G/H_synthase_2,0.6715,BLM
DB01355,Prostaglandin_G/H_synthase_2,0.669,BLM
DB02300,Cytochrome_P450_2D6,0.6532,BLM
DB00153,Cytochrome_P450_2C9,0.6441,BLM
DB00136,Cytochrome_P450_2C9,0.6438,BLM
DB11155,Cytochrome_P450_1A2,0.6436,BLM
DB00910,Cytochrome_P450_2C9,0.6429,BLM
DB00146,Cytochrome_P450_2C9,0.6408,BLM
DB01169,Cytochrome_P450_1A2,0.6399,BLM
DB00146,Cytochrome_P450_2D6,0.6395,BLM
DB00910,Cytochrome_P450_2D6,0.6383,BLM
DB01559,Cytochrome_P450_2C9,0.6333,BLM
DB00910,Cytochrome_P450_1A2,0.6258,BLM
DB00136,Cytochrome_P450_1A2,0.6253,BLM
DB00146,Cytochrome_P450_1A2,0.6247,BLM
DB00613,Cytochrome_P450_1A2,0.6232,BLM
DB02300,Cytochrome_P450_2C19,0.6177,BLM
DB00910,Cytochrome_P450_2C19,0.6177,BLM
DB04840,Cytochrome_P450_1A2,0.6172,BLM
DB00153,Cytochrome_P450_2C19,0.6151,BLM
DB00153,Cytochrome_P450_1A2,0.6111,BLM
DB00146,Cytochrome_P450_2C19,0.6107,BLM
DB00153,Cytochrome_P450_2D6,0.6081,BLM
DB00586,Prostaglandin_G/H_synthase_2,0.6046,BLM
DB00136,Cytochrome_P450_2C19,0.6038,BLM
DB02300,Cytochrome_P450_2C8,0.5953,BLM
DB00146,Cytochrome_P450_2C8,0.5946,BLM
DB00910,Cytochrome_P450_2C8,0.5928,BLM
DB00910,Cytochrome_P450_3A5,0.5897,BLM
DB00153,Cytochrome_P450_2C8,0.5883,BLM
DB02300,Cytochrome_P450_3A5,0.5823,BLM
DB00136,Cytochrome_P450_3A5,0.5808,BLM
DB00146,Cytochrome_P450_3A5,0.5805,BLM
DB00153,Cytochrome_P450_3A5,0.5778,BLM
DB00146,Vitamin_D_25-hydroxylase,0.5731,BLM
DB00136,Cytochrome_P450_2C8,0.5678,BLM
DB01698,Cytochrome_P450_2C19,0.5663,BLM
DB00146,Cytochrome_P450_2B6,0.5631,BLM
DB00136,Cytochrome_P450_3A7,0.5594,BLM
DB00136,Cytochrome_P450_2E1,0.5589,BLM
DB00910,Cytochrome_P450_2E1,0.5575,BLM
DB02300,Cytochrome_P450_3A7,0.5567,BLM
DB02300,Cytochrome_P450_2B6,0.5558,BLM
DB00153,Cytochrome_P450_2B6,0.5548,BLM
DB00623,Cytochrome_P450_1A1,0.5546,BLM
DB00910,Cytochrome_P450_3A7,0.5542,BLM
DB00136,Cytochrome_P450_2B6,0.5536,BLM
DB01223,Cytochrome_P450_1A1,0.5532,BLM
DB00533,Cytochrome_P450_1A1,0.551,BLM
DB00153,Cytochrome_P450_3A7,0.5503,BLM
DB02300,Cytochrome_P450_1A1,0.5502,BLM
DB00934,Cytochrome_P450_1A1,0.5493,BLM
DB00153,Cytochrome_P450_1A1,0.5479,BLM
DB00169,1-25-dihydroxyvitamin_D(3)_24-hydroxylase_mitochondrial,0.5472,BLM
DB00146,Cytochrome_P450_2E1,0.544,BLM
DB00153,Cytochrome_P450_2E1,0.5437,BLM
DB00969,Cytochrome_P450_1A1,0.5431,BLM
DB00788,Cytochrome_P450_1A1,0.5424,BLM
DB00146,Cytochrome_P450_3A7,0.5409,BLM
DB00910,Sterol_26-hydroxylase_mitochondrial,0.5406,BLM
DB00146,Cytochrome_P450_1A1,0.54,BLM
DB08881,Cytochrome_P450_1A1,0.5395,BLM
DB00136,Cytochrome_P450_1A1,0.5378,BLM
DB01234,Cytochrome_P450_1A2,0.5367,BLM
DB05271,Cytochrome_P450_1A1,0.5367,BLM
DB00549,Prostaglandin_G/H_synthase_2,0.5367,BLM
DB00136,UDP-glucuronosyltransferase_1-1,0.5367,BLM
DB01167,Cytochrome_P450_1A2,0.5363,BLM
DB09061,Myeloperoxidase,0.5363,BLM
DB00268,Cytochrome_P450_1A1,0.5354,BLM
DB00910,Cytochrome_P450_1A1,0.5343,BLM
DB06589,Cytochrome_P450_1A1,0.5342,BLM
DB00195,Cytochrome_P450_1A1,0.5334,BLM
DB00146,UDP-glucuronosyltransferase_1-1,0.5324,BLM
DB06820,Cytochrome_P450_1A1,0.5322,BLM
DB14011,Myeloperoxidase,0.5321,BLM
DB01418,Cytochrome_P450_1A1,0.5316,BLM
DB00910,UDP-glucuronosyltransferase_1-1,0.5307,BLM
DB09080,Cytochrome_P450_2C19,0.5299,BLM
DB05219,Cytochrome_P450_1A1,0.5297,BLM
DB00153,Cytochrome_P450_2A6,0.5278,BLM
DB00917,Cytochrome_P450_1A1,0.5274,BLM
DB00477,Cytochrome_P450_1A1,0.5248,BLM
DB00153,Cholinesterase,0.5244,BLM
DB00146,Cholinesterase,0.5235,BLM
DB05708,Cytochrome_P450_1A1,0.5214,BLM
DB02300,Cytochrome_P450_2A6,0.5213,BLM
DB00904,Cytochrome_P450_1A1,0.5212,BLM
DB00910,Cholinesterase,0.5211,BLM
DB00146,Cytochrome_P450_19A1,0.52,BLM
DB00130,Myeloperoxidase,0.5193,BLM
DB04920,Cytochrome_P450_1A1,0.5192,BLM
DB00146,Prostaglandin_G/H_synthase_1,0.5188,BLM
DB00910,Cytochrome_P450_19A1,0.5186,BLM
DB00136,Deoxycytidine_kinase,0.5179,BLM
DB00146,Cytochrome_P450_2A6,0.517,BLM
DB02300,Cytochrome_P450_19A1,0.5169,BLM
DB00755,Cytochrome_P450_2C19,0.5161,BLM
DB00136,Cholinesterase,0.5158,BLM
DB09130,Myeloperoxidase,0.5157,BLM
DB02300,Cholinesterase,0.5149,BLM
DB00624,Myeloperoxidase,0.5147,BLM
DB02300,UDP-glucuronosyltransferase_1-9,0.5146,BLM
DB00136,Cytochrome_P450_2A6,0.5142,BLM
DB00910,Prostaglandin_G/H_synthase_1,0.5141,BLM
DB02300,25-hydroxyvitamin_D-1_alpha_hydroxylase_mitochondrial,0.514,BLM
DB00136,UDP-glucuronosyltransferase_2B7,0.514,BLM
DB04827,Xanthine_dehydrogenase/oxidase,0.5136,BLM
DB01234,Myeloperoxidase,0.5129,BLM
DB00136,UDP-glucuronosyltransferase_1-3,0.5126,BLM
DB00153,Amine_oxidase_[flavin-containing]_A,0.5124,BLM
DB00153,UDP-glucuronosyltransferase_1-3,0.5122,BLM
DB00153,Cytochrome_P450_2C18,0.5121,BLM
DB00617,Cytochrome_P450_2C19,0.5118,BLM
DB00402,Prostaglandin_G/H_synthase_2,0.5117,BLM
DB00136,Cytochrome_P450_1B1,0.5116,BLM
DB00910,Cytochrome_P450_1B1,0.5116,BLM
DB00910,Cytochrome_P450_2C18,0.5115,BLM
DB00153,Cytochrome_P450_3A43,0.5114,BLM
DB13749,Myeloperoxidase,0.5112,BLM
DB00910,Cholesterol_side-chain_cleavage_enzyme_mitochondrial,0.5109,BLM
DB00136,Amine_oxidase_[flavin-containing]_B,0.5108,BLM
DB00297,Cytochrome_P450_1A1,0.5106,BLM
DB00675,Myeloperoxidase,0.5104,BLM
DB00146,Cytochrome_P450_2C18,0.5103,BLM
DB00136,Cytochrome_P450_3A43,0.5102,BLM
DB13944,Myeloperoxidase,0.5101,BLM
DB00227,Myeloperoxidase,0.5099,BLM
DB02300,Prostaglandin_G/H_synthase_1,0.5097,BLM
DB00134,Myeloperoxidase,0.5096,BLM
DB00146,Cytochrome_P450_3A43,0.5094,BLM
DB00136,Xanthine_dehydrogenase/oxidase,0.5094,BLM
DB00257,Myeloperoxidase,0.5091,BLM
DB02300,Xanthine_dehydrogenase/oxidase,0.5091,BLM
DB02300,Prostaglandin_G/H_synthase_2,0.509,BLM
DB00146,Cytochrome_P450_1B1,0.509,BLM
DB00153,Prostaglandin_G/H_synthase_2,0.5089,BLM
DB00773,Myeloperoxidase,0.5087,BLM
DB00136,Cholesterol_side-chain_cleavage_enzyme_mitochondrial,0.5087,BLM
DB00910,25-hydroxyvitamin_D-1_alpha_hydroxylase_mitochondrial,0.5086,BLM
DB00136,Amine_oxidase_[flavin-containing]_A,0.5086,BLM
DB02300,Amine_oxidase_[flavin-containing]_B,0.5084,BLM
DB02300,Cytochrome_P450_2C18,0.5082,BLM
DB00163,Myeloperoxidase,0.5079,BLM
DB00470,Arylalkylamine_N-acetyltransferase,0.5078,BLM
DB11638,Myeloperoxidase,0.5078,BLM
DB00943,Myeloperoxidase,0.5078,BLM
DB00910,Xanthine_dehydrogenase/oxidase,0.5077,BLM
