Drug1,Drug2,Prob,Method
DB00127,Aldehyde_dehydrogenase_mitochondrial,0.9990000000000001,GIP
DB01612,Amine_oxidase_[flavin-containing]_B,0.7675,GIP
DB01213,Amine_oxidase_[flavin-containing]_A,0.7157,GIP
DB09072,Amine_oxidase_[flavin-containing]_A,0.6148,GIP
DB09072,Amine_oxidase_[flavin-containing]_B,0.5991,GIP
DB00127,Retinal_dehydrogenase_1,0.5932,GIP
DB06728,Retinal_dehydrogenase_1,0.5916,GIP
DB06689,Aldehyde_dehydrogenase_mitochondrial,0.5895,GIP
DB09031,Carbonyl_reductase_[NADPH]_1,0.5873,GIP
DB06689,Retinal_dehydrogenase_1,0.5782,GIP
DB04827,Amine_oxidase_[flavin-containing]_A,0.5769,GIP
DB00316,Carbonyl_reductase_[NADPH]_1,0.5512,GIP
DB11640,Carbonyl_reductase_[NADPH]_1,0.5315,GIP
DB02486,Retinal_dehydrogenase_1,0.5303,GIP
DB01213,Aldehyde_dehydrogenase_mitochondrial,0.526,GIP
DB00127,Amine_oxidase_[flavin-containing]_B,0.5235,GIP
DB03822,Amine_oxidase_[flavin-containing]_B,0.5204,GIP
DB00161,Retinal_dehydrogenase_1,0.5167,GIP
DB03568,Aldehyde_dehydrogenase_mitochondrial,0.5148,GIP
DB03822,Amine_oxidase_[flavin-containing]_A,0.514,GIP
DB00711,Carbonyl_reductase_[NADPH]_1,0.5058,GIP
DB04572,Carbonyl_reductase_[NADPH]_1,0.486,GIP
DB00228,Carbonyl_reductase_[NADPH]_1,0.484,GIP
DB09072,Aldehyde_dehydrogenase_mitochondrial,0.4805,GIP
DB00951,Carbonyl_reductase_[NADPH]_1,0.4803,GIP
DB01612,Retinal_dehydrogenase_1,0.4733,GIP
DB01143,Carbonyl_reductase_[NADPH]_1,0.4632,GIP
DB09499,Amine_oxidase_[flavin-containing]_A,0.4627,GIP
DB06823,Carbonyl_reductase_[NADPH]_1,0.4558,GIP
DB00677,Carbonyl_reductase_[NADPH]_1,0.4521,GIP
DB05381,Carbonyl_reductase_[NADPH]_1,0.4496,GIP
DB00371,Carbonyl_reductase_[NADPH]_1,0.4454,GIP
DB00753,Carbonyl_reductase_[NADPH]_1,0.4451,GIP
DB00974,Carbonyl_reductase_[NADPH]_1,0.4428,GIP
DB01074,Carbonyl_reductase_[NADPH]_1,0.4424,GIP
DB00122,Amine_oxidase_[flavin-containing]_A,0.4412,GIP
DB00996,Carbonyl_reductase_[NADPH]_1,0.441,GIP
DB02509,Amine_oxidase_[flavin-containing]_A,0.4405,GIP
DB09269,Carbonyl_reductase_[NADPH]_1,0.4382,GIP
DB00720,Carbonyl_reductase_[NADPH]_1,0.4365,GIP
DB03822,Aldehyde_dehydrogenase_mitochondrial,0.4357,GIP
DB06154,Carbonyl_reductase_[NADPH]_1,0.4308,GIP
DB00763,Carbonyl_reductase_[NADPH]_1,0.4283,GIP
DB00822,Carbonyl_reductase_[NADPH]_1,0.4271,GIP
DB01213,Retinal_dehydrogenase_1,0.4258,GIP
DB00166,Carbonyl_reductase_[NADPH]_1,0.4255,GIP
DB11090,Aldehyde_dehydrogenase_mitochondrial,0.4246,GIP
DB00339,Carbonyl_reductase_[NADPH]_1,0.4219,GIP
DB03568,Amine_oxidase_[flavin-containing]_A,0.4154,GIP
DB01612,Amine_oxidase_[flavin-containing]_A,0.4126,GIP
DB00172,Carbonyl_reductase_[NADPH]_1,0.41200000000000003,GIP
DB00260,Carbonyl_reductase_[NADPH]_1,0.4112,GIP
DB04557,Carbonyl_reductase_[NADPH]_1,0.4105,GIP
DB00202,Carbonyl_reductase_[NADPH]_1,0.4099,GIP
DB11090,Retinal_dehydrogenase_1,0.4083,GIP
DB01005,Amine_oxidase_[flavin-containing]_A,0.4066,GIP
DB01213,Nucleoside_diphosphate_kinase_B,0.4049,GIP
DB04827,Retinal_dehydrogenase_1,0.4035,GIP
DB00325,Carbonyl_reductase_[NADPH]_1,0.402,GIP
DB01914,Carbonyl_reductase_[NADPH]_1,0.3982,GIP
DB01213,Nucleoside_diphosphate_kinase_A,0.3958,GIP
DB03756,Retinal_dehydrogenase_1,0.3945,GIP
DB01005,Aldehyde_dehydrogenase_mitochondrial,0.3878,GIP
DB00191,Carbonyl_reductase_[NADPH]_1,0.387,GIP
DB00727,Carbonyl_reductase_[NADPH]_1,0.385,GIP
DB02486,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.3824,GIP
