Drug1,Drug2,Prob,Method
DB00127,Aldehyde_dehydrogenase_mitochondrial,0.999,GIP
DB00780,Cytochrome_P450_2D6,0.999,KBMF2K
DB00146,Myeloperoxidase,0.9935,BLM
DB00910,Myeloperoxidase,0.9915,BLM
DB00153,Myeloperoxidase,0.991,BLM
DB00136,Myeloperoxidase,0.9907,BLM
DB00146,Prostaglandin_G/H_synthase_2,0.9804,BLM
DB05351,Cytochrome_P450_2C9,0.9247,KBMF2K
DB00470,Cytochrome_P450_1A2,0.8515,KBMF2K
DB00470,Cytochrome_P450_2D6,0.7946,KBMF2K
DB00909,Cytochrome_P450_1A2,0.7837,KBMF2K
DB01612,Amine_oxidase_[flavin-containing]_B,0.7675,GIP
DB00938,Cytochrome_P450_2D6,0.7304,KBMF2K
DB01213,Amine_oxidase_[flavin-containing]_A,0.7157,GIP
DB00130,Cytochrome_P450_2D6,0.6974,KBMF2K
DB01173,Cytochrome_P450_2C9,0.6890000000000001,KBMF2K
DB00619,Prostaglandin_G/H_synthase_2,0.6715,BLM
DB01355,Prostaglandin_G/H_synthase_2,0.669,BLM
DB02300,Cytochrome_P450_2D6,0.6532,BLM
DB00153,Cytochrome_P450_2C9,0.6441,BLM
DB00136,Cytochrome_P450_2C9,0.6438,BLM
DB11155,Cytochrome_P450_1A2,0.6436,BLM
DB00910,Cytochrome_P450_2C9,0.6429,BLM
DB00146,Cytochrome_P450_2C9,0.6408,BLM
DB01169,Cytochrome_P450_1A2,0.6399,BLM
DB00146,Cytochrome_P450_2D6,0.6395,BLM
DB00910,Cytochrome_P450_2D6,0.6383,BLM
DB01559,Cytochrome_P450_2C9,0.6333,BLM
DB00910,Cytochrome_P450_1A2,0.6258,BLM
DB00136,Cytochrome_P450_1A2,0.6253,BLM
DB00146,Cytochrome_P450_1A2,0.6247,BLM
DB00613,Cytochrome_P450_1A2,0.6232,BLM
DB00910,Cytochrome_P450_2C19,0.6177,BLM
DB02300,Cytochrome_P450_2C19,0.6177,BLM
DB04840,Cytochrome_P450_1A2,0.6172,BLM
DB00153,Cytochrome_P450_2C19,0.6151,BLM
