Drug1,Drug2,Prob,Method
DB11278,Histone_deacetylase_2,0.9990000000000001,GIP
DB05255,Mu-type_opioid_receptor,0.7291,GIP
DB05255,Elongation_factor_Tu,0.479,GIP
DB04867,Potassium_voltage-gated_channel_subfamily_H_member_2,0.4739,GIP
DB04867,Serine/threonine-protein_phosphatase_2A_catalytic_subunit_beta_isoform,0.4703,GIP
DB05553,Heat_shock_protein_HSP_90-beta,0.4532,GIP
DB12569,Cyclopropane_mycolic_acid_synthase_1,0.4497,GIP
DB05553,Elongation_factor_Tu,0.4121,GIP
DB05553,Calcium-dependent_secretion_activator_1,0.3892,GIP
DB06477,Heat_shock_protein_HSP_90-beta,0.3816,GIP
DB04867,Troponin_C_skeletal_muscle,0.3751,GIP
DB09223,Cyclopropane_mycolic_acid_synthase_MmaA2,0.3471,GIP
DB12129,Calmodulin,0.3248,GIP
DB06080,SEC14-like_protein_4,0.3227,GIP
DB05255,Endoplasmin,0.3149,GIP
DB11278,C-X-C_chemokine_receptor_type_4,0.3092,GIP
DB05553,Metallothionein-3,0.282,GIP
DB05255,Solute_carrier_family_22_member_4,0.2799,GIP
DB11278,Calcineurin_subunit_B_type_1,0.2636,GIP
DB04867,Calcium/calmodulin-dependent_protein_kinase_type_II_subunit_delta,0.2631,GIP
DB12129,Potassium_voltage-gated_channel_subfamily_H_member_6,0.262,GIP
DB12129,Peroxisome_proliferator-activated_receptor_gamma,0.2499,GIP
DB06213,SEC14-like_protein_4,0.2384,GIP
DB04867,Nuclear_receptor_subfamily_1_group_I_member_2,0.2349,GIP
DB06477,Folate_receptor_alpha,0.2323,GIP
DB04867,Platelet-activating_factor_receptor,0.2289,GIP
DB07419,Histone_deacetylase_2,0.2261,GIP
DB01911,Cyclopropane_mycolic_acid_synthase_3,0.2213,GIP
DB04867,Monocarboxylate_transporter_1,0.2193,GIP
DB04867,Type-2_angiotensin_II_receptor,0.2157,GIP
DB05553,Protein-arginine_deiminase_type-1,0.2136,GIP
DB06492,Histone_deacetylase_2,0.2116,GIP
DB11278,5-hydroxytryptamine_receptor_2A,0.2107,GIP
