Drug1,Drug2,Prob,Method
DB04836,Sodium-dependent_dopamine_transporter,0.5333,semEP
DB09462,Scaffolding_dockerin_binding_protein_A,0.5,semEP
DB09130,Carboxypeptidase_N_subunit_2,0.5,semEP
DB01592,Histone_deacetylase_4,0.5,semEP
DB01182,Sodium_channel_protein_type_4_subunit_alpha,0.5,semEP
DB01633,Endoglucanase,0.5,semEP
DB06408,Inosine-5'-monophosphate_dehydrogenase_2,0.5,semEP
DB00711,Prostaglandin_G/H_synthase_2,0.5,semEP
DB09285,Prostaglandin_G/H_synthase_1,0.5,semEP
DB09130,B1_bradykinin_receptor,0.5,semEP
DB03822,Acetylcholinesterase,0.5,semEP
DB00747,Glycine_receptor_subunit_alpha-1,0.5,semEP
DB12662,Peroxisome_proliferator-activated_receptor_alpha,0.5,semEP
DB09130,Semenogelin-1,0.5,semEP
DB09213,Peroxisome_proliferator-activated_receptor_alpha,0.5,semEP
DB06654,Amine_oxidase_[flavin-containing]_A,0.5,semEP
DB00408,Gamma-aminobutyric_acid_receptor_subunit_alpha-1,0.5,semEP
DB04454,Gag_polyprotein,0.5,semEP
DB04628,Chitotriosidase-1,0.5,semEP
DB02255,A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_5,0.5,semEP
DB03995,Alpha-glucosidase,0.5,semEP
DB00143,72_kDa_type_IV_collagenase,0.5,semEP
DB00257,Cytochrome_P450_2B6,0.5,semEP
DB00695,Carbonic_anhydrase_1,0.5,semEP
DB06358,Thymidylate_synthase,0.5,semEP
DB04418,Adenylosuccinate_synthetase,0.5,semEP
DB00782,Histamine_H2_receptor,0.5,semEP
DB01593,Glutathione_synthetase,0.5,semEP
DB01080,Glutamyl-tRNA(Gln)_amidotransferase_subunit_B_mitochondrial,0.5,semEP
DB14034,Peroxisome_proliferator-activated_receptor_alpha,0.5,semEP
DB00130,Lengsin,0.5,semEP
DB00608,Toll-like_receptor_7,0.5,semEP
DB00884,Geranylgeranyl_pyrophosphate_synthase,0.5,semEP
DB04970,D(2)_dopamine_receptor,0.5,semEP
DB01346,Potassium_channel_subfamily_K_member_6,0.5,semEP
DB08230,Casein_kinase_II_subunit_beta,0.5,semEP
DB00502,Glutamate_receptor_ionotropic_NMDA_1,0.5,semEP
DB06191,ATP-binding_cassette_sub-family_B_member_5,0.5,semEP
DB00411,Cholinesterase,0.5,semEP
DB03509,Poly_[ADP-ribose]_polymerase_2,0.5,semEP
DB03017,Polyprotein,0.5,semEP
DB00652,HCG20471_isoform_CRA_c,0.5,semEP
DB01645,Actin_cytoplasmic_1,0.5,semEP
DB08711,Endo-1-4-beta-xylanase_Z,0.5,semEP
DB00755,Aldehyde_dehydrogenase_family_1_member_A3,0.5,semEP
DB00133,Cysteine_sulfinic_acid_decarboxylase,0.5,semEP
DB02209,Arginine_decarboxylase,0.5,semEP
DB00483,Cholinesterase,0.5,semEP
DB09130,Carboxypeptidase_N_catalytic_chain,0.5,semEP
DB04883,Endothelin_B_receptor,0.5,semEP
DB04786,Ryanodine_receptor_2,0.5,semEP
DB06749,Solute_carrier_organic_anion_transporter_family_member_1B1,0.5,semEP
DB09130,Junction_plakoglobin,0.5,semEP
DB00235,cAMP-specific_3'-5'-cyclic_phosphodiesterase_4B,0.5,semEP
DB01151,Sodium-dependent_dopamine_transporter,0.4762,semEP
DB00346,Potassium_voltage-gated_channel_subfamily_H_member_7,0.4762,semEP
DB01242,Sodium-dependent_dopamine_transporter,0.4762,semEP
DB00346,Potassium_voltage-gated_channel_subfamily_H_member_6,0.4762,semEP
DB01346,Glutamate_receptor_ionotropic_kainate_2,0.4667,semEP
DB03752,Prostaglandin_G/H_synthase_2,0.4667,semEP
DB01175,5-hydroxytryptamine_receptor_2C,0.4667,semEP
DB00869,Carbonic_anhydrase_5A_mitochondrial,0.4286,semEP
DB03604,Thyroid_hormone_receptor_alpha,0.4286,semEP
DB00802,Delta-type_opioid_receptor,0.4222,semEP
DB00802,Kappa-type_opioid_receptor,0.4222,semEP
DB14050,Transient_receptor_potential_cation_channel_subfamily_V_member_3,0.4167,semEP
DB11755,Transient_receptor_potential_cation_channel_subfamily_V_member_1,0.4167,semEP
DB11755,Transient_receptor_potential_cation_channel_subfamily_V_member_4,0.4167,semEP
DB11755,Transient_receptor_potential_cation_channel_subfamily_V_member_3,0.4167,semEP
DB14050,Transient_receptor_potential_cation_channel_subfamily_V_member_4,0.4167,semEP
DB01589,Gamma-aminobutyric_acid_receptor_subunit_beta-2,0.4113,semEP
DB01594,Gamma-aminobutyric_acid_receptor_subunit_theta,0.4113,semEP
DB00801,Gamma-aminobutyric_acid_receptor_subunit_alpha-4,0.4113,semEP
DB01544,Gamma-aminobutyric_acid_receptor_subunit_theta,0.4113,semEP
DB13872,Gamma-aminobutyric_acid_receptor_subunit_rho-2,0.4113,semEP
DB01544,Gamma-aminobutyric_acid_receptor_subunit_rho-2,0.4113,semEP
DB13872,Gamma-aminobutyric_acid_receptor_subunit_rho-3,0.4113,semEP
